_id,bankNameExtracter,bank_domain_length,bank_full_endpoint,bank_full_name,bank_name_denoter,bank_short_endpoint,bank_short_endpoint_hashed_form_md5,bank_short_forms,is_running_on_https
6510984e70c92eadc4ecf160,"""VCBLBK"" : [""the visakhapatnam cooperative bank ltd."", ""visakhapatnam"", ""visakhapatnam cooperative""],",7,https://www.vcbl.in,The Visakhapatnam Cooperative Bank Ltd.,VCBLBK,vcbl.in,5009e6d308c54f3a224d9da5d81d5053,"[""the visakhapatnam cooperative bank ltd."", ""visakhapatnam"", ""visakhapatnam cooperative""],",
6510984e70c92eadc4ecf172,"""AIRTELBK"" : [""airtel payments bank"", ""airtel""],",9,https://www.airtel.in,Airtel Payments Bank,AIRTELBK,airtel.in,dfaabdf670c7845bf885328c461f1343,"[""airtel payments bank"", ""airtel""],",
6510984e70c92eadc4ecf166,"""BUCBBK"" : [""bhilwara urban co-operative bank ltd"", ""bhilwara urban"", ""cleartax""],",8,https://bucb.com/,Bhilwara Urban Co-operative Bank Ltd,BUCBBK,bucb.com,e368f8d7b36568196857c9cd8a1e7605,"[""bhilwara urban co-operative bank ltd"", ""bhilwara urban"", ""cleartax""],",
6510984e70c92eadc4ecf17a,"""APCOBBK"" : [""andhra pradesh state cooperative bank"", ""andhra pradesh"", ""apcob""],",9,https://apcob.org,Andhra Pradesh State Cooperative Bank,APCOBBK,apcob.org,f278f972aa6a2781f007035a45784d3b,"[""andhra pradesh state cooperative bank"", ""andhra pradesh"", ""apcob""],",
6510984e70c92eadc4ecf180,"""VJSBLBK"" : [""vasai janata sahakari bank ltd"", ""vasai janata"", ""vasai janata cooperative""],",9,https://vjsbl.com/,Vasai Janata Sahakari Bank Ltd,VJSBLBK,vjsbl.com,2a7e7d7bf32e2631449e80af898fd303,"[""vasai janata sahakari bank ltd"", ""vasai janata"", ""vasai janata cooperative""],",
6510984e70c92eadc4ecf18c,"""DNSBANKBK"" : [""dombivli nagri sahakari bank"", ""dns""],",10,https://www.dnsbank.in,Dombivli Nagri Sahakari Bank,DNSBANKBK,dnsbank.in,fed2a9e3dc4c39e7c08e2924a21a0bd2,"[""dombivli nagri sahakari bank"", ""dns""],",
6510984e70c92eadc4ecf18e,"""JRGBANKBK"" : [""jharkhand rajya gramin bank"", ""jharkhand rajya gramin""],",10,https://jrgbank.in,Jharkhand Rajya Gramin Bank,JRGBANKBK,jrgbank.in,dbdf0c29fab511c4ee0bfce965d2e9c8,"[""jharkhand rajya gramin bank"", ""jharkhand rajya gramin""],",
6510984e70c92eadc4ecf192,"""PGBBK"" : [""punjab gramin bank"", ""punjab"", ""pgb""],",10,https://pgb.org.in,Punjab Gramin Bank,PGBBK,pgb.org.in,eada24123214137ae0ff418cf1c1da49,"[""punjab gramin bank"", ""punjab"", ""pgb""],",
6510984e70c92eadc4ecf19d,"""BNSBBK"" : [""baran nagrik sahakari bank ltd"", ""baran nagrik"", ""baran nagrik cooperative""],",10,https://bnsb.co.in/,Baran Nagrik Sahkari Bank Ltd,BNSBBK,bnsb.co.in,9dfc5923978793aeed4365ff935efd9c,"[""baran nagrik sahakari bank ltd"", ""baran nagrik"", ""baran nagrik cooperative""],",
6510984e70c92eadc4ecf1cd,"""INDUSINDBK"" : [""indusind bank"", ""indusind""],",12,https://www.indusind.com,IndusInd Bank,INDUSINDBK,indusind.com,4d7291ee734193ea2f62bf499c407b0c,"[""indusind bank"", ""indusind""],",true
